"","S01","S02","S03","S04","S05","S07","S08","S09","S10","S11","S12","S14","S15","S17","S18","S20","S21","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S34","S35","S37","S38","S40","S41","S42","S43","S44","S45","S46","S47","S49","S50","S51","S52","S53","S54","S55"
"b1683a5960153d58100a5371215c0230",0.354688539126579,0.465528707603636,0.657651666297199,7.49279538904899,7.03465602601049,0.945836104337545,0.834995935860489,1.455700879332,4.10108623365107,15.8575334367842,13.3821030074632,12.724451341166,16.3673982117786,15.1851030813567,15.3698366954851,9.53225448902682,6.58439255099024,5.42377891081061,6.30357670706474,12.7096726520358,20.6088819921673,10.943619300968,7.82531589448016,2.55671321953743,5.660237936895,4.75134855538314,10.5741520727112,12.3420294139384,5.89061345158906,8.73420527599202,13.5520579324614,23.5498411290918,23.8601936008276,24.3257223084312,18.9462794650115,20.2985295204315,22.6557304367103,15.4954555530924,6.68194249390199,7.76620113795906,10.8048185647772,11.9707381955221,9.65787334663415,12.6653365846449,14.3796645237567,17.9856646715436
"774ba321f0096ef5c988eec207bf8c1b",0.0886721347816449,0.0812827902165078,0.0591147565210966,0.812827902165078,0.532032808689869,0.110840168477056,0.162565580433016,0.184733614128427,0.266016404344935,3.76117638365477,2.60843863149339,1.02711889455405,0.982782827163231,1.64043449346043,5.29077070863814,8.16522574447646,7.85545373928466,12.2663119781275,8.5057641146911,2.34242222714845,4.40404936082169,2.59365994236311,12.6653365846449,0.362077883691717,1.52959432498337,1.61826645976502,6.14054533362891,15.4829650432341,13.3924611973392,15.7540826128722,11.9042340944358,16.0866031183034,13.2786521835513,13.8254636813715,14.3205497672356,14.7860784748393,14.4092219020173,23.4833370280056,18.3605587996156,21.2517549693342,25.0092380459685,22.855242739969,17.6309761324171,20.1507426291288,24.0818739377817,17.571861375896
"d72ea6b9cd47f596733ba1bffe6825f5",6.90903716840316,6.82036503362152,9.45097169881032,6.58390600753713,5.75629941624178,7.92137737382694,7.27850439666002,7.58146752383064,7.49279538904899,9.08150447055346,9.44358235424518,8.18000443360674,7.88443065100126,9.93866844010936,5.97797975319589,4.1454223010419,3.6801655335501,3.67250424887312,3.76884422110553,9.87955368358827,10.6628242074928,9.16278726076997,3.07396733909702,9.51008645533141,8.60119707381955,8.42385280425626,9.20712332816079,4.79639346685389,4.6119733924612,4.64789773147122,7.44106997709303,10.027340574891,9.13322988250942,9.40663563141949,8.37951673686544,6.90903716840316,7.84009458361043,2.81534027931722,3.08965925049893,2.82272962388236,2.76402335378021,3.01485258257593,4.38927067169142,5.43855759994089,4.49272149560334,8.80070937707825
"3d2a7e35bbcf8c1dffa7d4a1b476930f",0.738934456513707,0.738934456513707,1.01972954998892,2.14290992388975,2.54193453040715,0.709377078253159,1.04189758368433,0.945836104337545,0.694598389122885,1.33008202172467,1.24140988694303,0.761102490209118,0.820217246730215,1.00495086085864,2.43848370649523,2.27591812606222,5.1803133313627,6.42134042710412,8.87525864617204,2.60104928692825,2.371979605409,2.94095913692456,7.52235276730954,1.30052464346412,1.61826645976502,1.81038941845858,4.30059853690978,9.14197029044417,7.68662232076866,10.3450823911919,6.18488140101973,4.98780758146752,4.81785265646937,4.33754525973546,5.05431168255376,5.00997561516293,4.87696741299047,5.63068055863445,8.06415847438835,7.95832409665263,6.60705047668317,6.93859454666371,6.87947979014261,8.01743885317372,6.99770930318481,6.44350846079953
"6ca0d4a5bf9f086ed331b354050008f1",6.14793467819404,5.37944284341979,6.81297568905638,10.079065986847,9.48052907707086,7.04943471514077,5.92625434123993,6.14054533362891,5.76368876080692,5.54939776841794,12.4584349368211,7.18244291731323,5.83019286189315,6.96815192492426,5.58634449124363,2.77839355649154,2.88205734555129,2.44587305106037,2.3721548921076,11.3943693194414,3.56166408039607,9.1480085716397,1.99512303258701,6.61346338579768,6.40656173797384,7.54452080100495,6.4582871499298,1.61850565368413,1.38211382113821,1.52220498041824,2.80795093475209,2.17985664671544,2.72666814453558,2.54193453040715,2.00990172171728,2.371979605409,1.98773368802187,1.49264760215769,1.33047527533447,1.58131973693933,1.2711551252679,1.5739303923742,1.86950417497968,1.41136481194118,1.40397546737604,2.21680336954112
"8b788247d0dc6d7b7a15edd434b2f412",0,0,0,0.258627059779798,0.421192640212813,0,0,0,0,1.01972954998892,0.672430355427474,0.236459026084386,0,0.369467228256854,3.10352471735757,4.03458213256484,4.73691989358557,6.42134042710412,6.22228791013893,0.753713145643981,0.502475430429321,1.22663119781275,4.78829527820882,0.0960614793467819,0.17734426956329,0.354688539126579,2.06162713367324,6.31143300569064,8.00443458980044,7.03465602601049,4.07152885539053,2.81534027931722,3.45082391191901,2.63799600975393,3.85723786300155,4.33754525973546,4.17497967930245,7.33761915318111,6.01670485623475,6.0001477868913,8.32902224521469,6.87209044557748,5.9188649966748,6.51001256188576,8.10611098795537,4.41143870538683
"a5a46f941d8e1ab09c1c5b9339ed5aa3",0,0,0,0.665041010862337,1.95817630976132,0,0,0,0.953225448902682,1.32269267715954,1.19707381955221,0.12561885760733,0.229069681519249,0.413803295647676,2.46065174019065,4.51488952929875,6.9243275199527,6.84992241188207,10.8631392255395,0.842385280425626,0.236459026084386,0.916278726076997,10.3155250129314,0,0.206901647823838,0.0960614793467819,1.13795906303111,5.47631365013672,12.6459719142646,3.99763540973916,4.44838542821252,0.73154511194857,1.40397546737604,1.14534840759625,3.05179930540161,2.92618044779428,2.90401241409887,5.74891007167664,5.38842486510459,4.3449346043006,4.30862463971621,2.90401241409887,5.51984039015739,3.35476243257223,3.73900834995936,3.33998374344196
"239a71c05a5470da82bc835fd46a264b",2.8892337249686,3.96807803147861,3.12569275105298,4.55922559668957,6.75386093253528,2.40892632823469,4.44099608364738,3.7463976945245,2.69711076627503,2.22419271410626,3.93852065321806,2.26852878149708,2.24636074780167,2.49020911845119,5.17254119559595,4.67745510973177,5.46851906591782,5.37205349885465,4.07921962754951,2.91879110322914,2.49020911845119,2.35720091627873,5.45333628907116,1.92861893150078,1.74388531737235,1.89906155324023,3.22175423039976,2.71229029635651,6.9179600886918,2.46065174019065,2.94095913692456,2.13552057932461,2.84489765757777,2.62321732062366,2.85228700214291,2.49759846301633,2.73405748910072,2.69711076627503,3.9396851208515,4.61095100864553,3.43655310028823,2.7710042119264,6.99770930318481,2.68233207714476,2.47543042932092,2.72666814453558
"5d40deff8dd8df7e15f3df350335894d",0.524643464124732,0.834995935860489,0.997561516293505,1.52220498041824,1.7734426956329,0,1.13056971846597,1.35963939998522,0.879332003251312,0.997561516293505,1.24879923150817,1.10101234020542,1.3744180891155,1.17490578585679,2.01729106628242,0,2.5716819391073,2.64538535431907,2.00266036062666,2.02468041084756,1.3744180891155,1.21185250868248,2.20941402497598,1.10101234020542,1.07145496194488,0.775881179339393,1.47786891302741,2.29103540019215,2.57945306725795,2.65277469888421,2.38675829453927,1.55915170324392,1.76605335106776,1.86211483041454,2.53454518584202,2.22419271410626,2.25375009236681,2.9705165151851,4.06534111907754,3.52471735757038,3.68043751385707,3.55427473583093,4.04936082169512,2.86706569127318,2.5123771521466,2.50498780758147
"fc060bc3056e2b24fb7d61df6cc7cc91",6.21443877928028,3.47299194561442,4.49272149560334,3.22175423039976,3.84245917387128,7.04204537057563,3.87940589669696,5.35727480972438,7.73664375969852,4.13803295647676,3.34737308800709,5.29077070863814,4.37449198256115,4.44838542821252,2.19463533584571,1.58131973693933,0.997635234998522,0.701987733688022,0.665090156665681,2.49020911845119,2.48281977388606,2.93356979235942,0.347299194561442,4.16020099017217,5.73413138254637,3.98285672060888,2.21680336954112,0.472987953588057,0.546932742054693,0.406413951082539,0.746323801078844,0.923668070642134,1.40397546737604,1.36702874455036,1.0566762728146,1.10101234020542,0.96061479346782,0.310352471735757,0.546973168748614,0.524643464124732,2.43884413568842,0.591147565210966,0.657651666297199,0.628094288036651,0.546811497820143,1.13795906303111
"524a9b7df8fec0dc1f9a27595c7db2a3",0.916278726076997,0.827606591295352,0.724155767383433,1.24140988694303,1.35963939998522,1.59609842606961,0.871942658686175,0.975393482598094,1.21185250868248,1.69215990541639,2.03206975541269,1.49264760215769,1.94339762063105,1.81777876302372,5.75629941624178,4.47794280647307,3.57670706473544,1.23402054237789,1.71445462607153,3.32520505431168,1.63304514889529,1.41136481194118,2.55671321953743,2.53454518584202,1.79561072932831,1.30791398802926,1.28574595433385,4.07952109969699,1.64818920916482,2.55671321953743,1.93600827606591,3.92374196408779,0,0,0,3.25131160866031,0,4.45577477277766,0,5.36466415428951,0,3.98285672060888,0,0,0,0
"62f363149262f1eff985c8464d19ebf7",2.36459026084386,3.56166408039607,2.60843863149339,2.01729106628242,2.60843863149339,1.7734426956329,4.45577477277766,3.31042636518141,3.11091406192271,1.83255745215399,2.64538535431907,1.99512303258701,2.22419271410626,2.4310943619301,1.32269267715954,0.716766422818296,1.13065326633166,1.10840168477056,0.886786875554242,3.05918864996675,3.20697554126949,3.56905342496121,0.221680336954112,4.59617231951526,3.58383211409148,3.57644276952634,3.00007389344565,0.532111447786564,0.724316334072432,0.60592625434124,1.1157910293357,1.70693859454666,1.14534840759625,1.83255745215399,1.21924185324762,1.04189758368433,1.27835660976871,0.110840168477056,0.303052701603962,0.288184438040346,0.332569654866603,0.162565580433016,0.421192640212813,0.60592625434124,0.42858198477795,0.945836104337545
"2fb6ea991789fd51f864e9968d2fc0cb",0.48030739673391,0.376856572821991,0.369467228256854,0.724155767383433,1.10840168477056,0.384245917387128,0.55420084238528,0.450750018473361,0.435971329343087,0.502475430429321,0.546811497820143,0.162565580433016,0.221680336954112,0.30296312717062,0.938446759772408,1.70693859454666,2.10611882944132,1.99512303258701,4.49305350280816,0.746323801078844,0.332520505431168,0.347299194561442,2.5714919086677,0.384245917387128,0.48030739673391,0.295573782605483,0.657651666297199,1.24159337816865,8.72135994087214,0.8571639695559,0.931057415207271,0.435971329343087,0.78327052390453,0.842385280425626,0.820217246730215,1.03450823911919,0.78327052390453,2.64538535431907,3.22270677803238,3.39170915539792,2.18017884856995,1.74388531737235,3.0296312717062,1.04189758368433,1.07884430651001,0.517254119559595
"730158aebbcb3eb5397eb8ed7f01c598",4.66267642060149,3.36954112170251,4.4853321510382,3.89418458582724,3.14786078474839,5.94103303037021,6.0001477868913,5.2020985738565,5.63806990319959,3.71684031626395,1.58870908150447,3.44343456735388,4.16759033473731,3.44343456735388,2.08379516736865,1.24140988694303,0.702039609813775,0.73154511194857,0.642920484776825,2.12074189019434,1.44092219020173,1.73649597280721,0.258627059779798,1.52220498041824,1.29313529889899,1.96556565432646,1.18968447498707,0.443426206488803,0.421286031042129,0.650262321732062,0.842385280425626,0.916278726076997,1.1157910293357,1.02711889455405,0.842385280425626,0.775881179339393,0.879332003251312,0.288184438040346,0.295661172296548,0.280795093475209,0.310398344542162,0.258627059779798,0.598536909776103,0.687209044557748,0.583758220645829,0.450750018473361
"d2c15144924e16eefa01256d05028223",0.591147565210966,0.871942658686175,0.687209044557748,0.975393482598094,0.672430355427474,0.687209044557748,0.923668070642134,0.78327052390453,0.73154511194857,0.591147565210966,1.06406561737974,0.746323801078844,0.8571639695559,0.827606591295352,0.650262321732062,0.435971329343087,1.16760271947975,1.01234020542378,1.07892403192433,1.66999187172098,1.98773368802187,1.82516810758886,1.29313529889899,2.42370501736496,2.27591812606222,2.47543042932092,2.49759846301633,1.04205158524869,0.805617147080562,1.54437301411365,1.6552131825907,2.02468041084756,1.41875415650632,1.33008202172467,1.30052464346412,1.23402054237789,1.10840168477056,0.672430355427474,1.02003104442309,0.968004138032956,0.650358436183578,0.738934456513707,0.768491834774256,1.1157910293357,0.761102490209118,1.33747136628981
"9543958c5fb9022c43f460d1d2212493",3.05179930540161,1.82516810758886,2.16507795758516,0.724155767383433,0.421192640212813,3.25870095322545,3.43604522278874,5.10603709450972,7.3154511194857,3.93852065321806,2.09118451193379,3.827680484741,4.69962314342718,4.05675016626025,0.716766422818296,0.406413951082539,0.162577593851611,0.140397546737604,0.288205734555129,1.39658612281091,1.95078696519619,1.90645089780536,0.147786891302741,1.84733614128427,2.94834848148969,1.92122958693564,1.09362299564029,0.310398344542162,0.0886917960088692,0.214290992388975,0.716766422818296,1.56654104780906,1.64043449346043,1.3744180891155,1.10840168477056,1.10101234020542,0.953225448902682,0.0147786891302741,0.0960898809963781,0.0665041010862337,0.125637425171828,0.17734426956329,0.162565580433016,0.502475430429321,0.635483632601788,0.657651666297199
"f40a0352a49879edc3581e6b72d7e029",0,0.399024606517402,0.620704943471514,2.96312717061997,5.66762728146013,0.561590186950418,0.931057415207271,0.354688539126579,0.945836104337545,3.18480750757408,1.99512303258701,0.687209044557748,1.13795906303111,1.455700879332,4.15281164560703,3.15525012931353,2.55690215784806,2.83750831301264,4.65563109665977,0.871942658686175,0.753713145643981,1.2561885760733,1.12318037390084,0.524643464124732,0.709377078253159,0.672430355427474,1.47786891302741,1.73675264208115,0.946045824094605,1.34486071085495,1.41136481194118,0.591147565210966,0.42858198477795,0.650262321732062,1.13795906303111,0.746323801078844,0.591147565210966,0.901500036946723,0.436100229137409,0.687209044557748,0.620796689084325,0.775881179339393,0.472918052168773,0.768491834774256,0.48030739673391,0.273405748910072
