Site	Lat	Long	min_row	min_dist	Lat_Env	Long_Env	Speed	Temp	Sal	SigmaT	Ssp	Chla	NO3_NO2	PO4	DIN_SPR	copy_18S	SD_18S	GroupL	GroupS	Coverage	Richness	Shannon	Evenness
S40	32.496	133.934	1340	22591.59436	32.68001833	134.03723	2	25.92	34.771	22.891	1535.32	0.52	54.9970314	30.96271606	1.776234078	996	100.61	North	NA	13533	169	3.2793316677475075	0.6392585604483388
S41	32.513	133.755	1439	27052.9823	32.74110667	133.85718	11.8	25.833	34.757	22.82	1535.45	0.46	93.53437853	30.96271606	3.020871242	1020.4	47.647	North	NA	13533	140	3.3912329947191693	0.6862562493804475
S42	32.837	134.648	NA	NA	NA	NA	8.9	25.72	34.768	NA	NA	0.72	NA	NA	NA	1749.9	46.245	North	NA	13533	161	3.3903521383746082	0.6672077037870169
S43	32.906	135.168	NA	NA	NA	NA	3.1	25.522	34.708	NA	NA	0.71	NA	NA	NA	1659.4	320.37	North	NA	13533	168	3.57507708141225	0.6977170596403386
S44	32.946	135.563	NA	NA	NA	NA	2.8	25.543	34.73	NA	NA	0.48	NA	NA	NA	1642.8	92.088	North	NA	13533	150	3.488453271926959	0.6962097752429125
S45	33.085	135.956	NA	NA	NA	NA	16.6	25.402	34.723	NA	NA	0.81	NA	NA	NA	2019.2	76.988	North	NA	13533	158	3.436070865635148	0.6787173066814892
S46	34.485	137.524	NA	NA	NA	NA	15	22.234	34.436	NA	NA	1.03	NA	NA	NA	1880.4	90.793	North	NA	13533	124	3.1491301366407005	0.6533083376521439
S47	35.041	139.252	NA	NA	NA	NA	11.5	21.605	34.21	NA	NA	1.28	NA	NA	NA	4244	359.36	North	NA	13529	150	3.5413352366657374	0.7067637193308182
S49	35.201	139.484	NA	NA	NA	NA	0.7	21.518	34.245	NA	NA	1.45	NA	NA	NA	2040.2	76.615	North	NA	13533	132	3.419732181226894	0.7003626678789167
S50	35.185	139.504	NA	NA	NA	NA	0.2	21.972	34.485	NA	NA	1.29	NA	NA	NA	1714.4	338.15	North	NA	13531	121	3.201387379350558	0.667541117342982
S51	35.162	139.406	NA	NA	NA	NA	0.2	21.881	34.448	NA	NA	1.43	NA	NA	NA	1281.4	125.37	North	NA	13533	142	3.3728373569100625	0.6805801166400259
S52	35.161	139.494	NA	NA	NA	NA	0.1	22.079	34.465	NA	NA	1.38	NA	NA	NA	2052.8	179.08	North	NA	13533	123	3.4705717514487917	0.7212050692892049
S53	34.418	139.788	1908	124.8424623	34.41824667	139.789325	0.3	24.543	34.67	23.237	1532.98	0.78	282.4988295	37.65533079	7.504603516	1205.8	19.73	North	NA	13533	165	3.4663278799008825	0.6788807083074575
S54	34.039	140.114	2202	24.12683312	34.039155	140.1141833	1.3	24.995	34.685	23.126	1533.86	0.59	253.5880325	30.85180133	8.230267744	1183.8	41.059	North	NA	13533	123	3.205600930539063	0.6661425859464979
S55	33.664	140.376	2465	2015.0508	33.66829833	140.35489	1.2	24.966	34.775	23.254	1533.56	0.68	133.4890102	27.10302415	4.931007498	1184.6	63.141	North	NA	13533	153	3.363681097592811	0.6686656609533782
