Genus	S01	S02	S03	S04	S05	S07	S08	S09	S10	S11	S12	S14	S15	S17	S18	S20	S21	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S34	S35	S37	S38	S40	S41	S42	S43	S44	S45	S46	S47	S49	S50	S51	S52	S53	S54	S55
Algirosphaera	0.7537131456439814	0.923668070642134	0.6798196999926107	0.3990246065174019	0	0.6872090445577477	0.4507500184733614	0.9753934825980936	0.6798196999926107	0.34729919456144237	0.6280942880366511	0.7389344565137073	0.8054385575999409	0.6798196999926107	0.22168033695411216	0.19212295869356388	0.5025125628140704	0.3325205054311683	0.2882057345551286	1.019729549988916	1.027118894554053	0.9827828271632305	0.30296312717061996	1.0862336510751496	1.0862336510751496	1.1527377521613833	0.820217246730215	0.46559751681324363	0.16260162601626016	0.5837582206458287	0.6724303554274735	0.502475430429321	0.7019877336880219	0.6576516662971994	0.6872090445577477	0.5542008423852804	0.7611024902091185	0.34729919456144237	0.6282799911301649	0.4655287076036355	0.4434262064888035	0.4433606739082243	0.4581393630384985	0.7537131456439814	0.5172541195595951	0.5615901869504174
Braarudosphaera	0.7315451119485702	0.2734057489100717	0.7463238010788442	1.2709672652035766	0.7758811793393925	1.1527377521613833	0.5911475652109657	0.7980492130348038	0.2881844380403458	0.4285819847779502	0.11084016847705608	3.3473730880070938	0.6945983891228849	1.1010123402054237	0	0	0.036949453148093406	0	0	0.7906598684696667	3.3104263651814083	2.165077957585162	0	1.6034877706347448	2.948348481489692	1.8325574521539938	0.4285819847779502	0.029561747099253563	0	0	0.3325205054311683	0.2142909923889751	0.19951230325870095	0.20690164782383805	0.19212295869356388	0.2955737826054829	0.24384837064952336	0	0	0	0	0	0	0	0	0
Calcidiscus	0	0.0812827902165078	0.05911475652109658	0	0	0.02955737826054829	0	0.09606147934678194	0.07389344565137072	0.05911475652109658	0	0.02955737826054829	0.08867213478164486	0.05911475652109658	0	0	0	0	0	0.0812827902165078	0.04433606739082243	0.11084016847705608	0	0.08867213478164486	0.0812827902165078	0.15517623586787851	0	0.014780873549626782	0	0	0.022168033695411215	0.03694672282568536	0	0.0812827902165078	0	0.014778689130274145	0	0	0	0	0	0	0	0	0	0
Chrysochromulina	34.9811571713589	36.2964605039533	38.93445651370723	34.37523091701766	38.21769009088894	32.003251311608665	37.06495233872756	36.82110396807803	30.244587305106037	27.237124067095248	37.781718761545854	30.577107810537203	27.052390452966822	31.840685731175643	27.946501145348407	25.94398876819626	34.75465563109666	32.668292322471	37.39284658587053	40.05763688760807	29.70516515185103	36.74721052242666	35.727480972437746	36.9541121702505	30.924407005098647	33.07470627355354	34.995935860489176	24.38844135688419	42.37989652623799	22.330599275844232	28.37508313012636	23.778910810611098	25.168107588856866	25.21983300081283	26.29867730732284	23.44639030517993	24.155767383433087	22.38971403236533	23.948554956020402	25.08682479864036	18.616510235754934	19.049730288923374	31.293874233355503	21.22958693563881	19.35269341609399	25.788812532328382
Chrysoculter	0.19951230325870095	0.09606147934678194	0.16995492499815268	0.09606147934678194	0	0	0.08867213478164486	0.0812827902165078	0.09606147934678194	0.12561885760733021	0.11822951304219316	0.08867213478164486	0.11822951304219316	0.03694672282568536	0	0	0	0	0	0.07389344565137072	0.02955737826054829	0	0.11084016847705608	0.014778689130274145	0.10345082391191901	0.03694672282568536	0.22168033695411216	0.0886852412977607	0.051736881005173686	0.19951230325870095	0.10345082391191901	0.11084016847705608	0.11084016847705608	0.1330082021724673	0.14778689130274145	0.12561885760733021	0.18473361412842682	0.08867213478164486	0.12565599822603296	0.09606147934678194	0.07390436774813391	0.15517623586787851	0.14039754673760438	0.14039754673760438	0.17734426956328972	0.2734057489100717
Chrysotila	0.19212295869356388	0.12561885760733021	0.3325205054311683	0.051725411955959505	0.14778689130274145	0.14778689130274145	0.1330082021724673	0.2881844380403458	0.04433606739082243	0.014778689130274145	0	0.06650410108623366	0.07389344565137072	0.051725411955959505	0	0	0	0	0	0.03694672282568536	0.04433606739082243	0.0812827902165078	0	0.07389344565137072	0.0073893445651370725	0.08867213478164486	0.02955737826054829	0	0	0	0	0.014778689130274145	0.014778689130274145	0.03694672282568536	0.05911475652109658	0	0.03694672282568536	0	0.007391529307413703	0	0	0	0	0	0	0
Clade_B3	0	0	0	0	0	0	0	0	0	0.33990984999630536	0.022168033695411215	0.04433606739082243	0	0.07389344565137072	0.07389344565137072	0.11822951304219315	0.2069169376293231	0.051725411955959505	0.05172923440733077	0	0.17734426956328975	0.0073893445651370725	0.2734057489100717	0.014778689130274145	0.05911475652109658	0.022168033695411215	0.04433606739082243	0.11085655162220087	0	0.04433606739082243	0.051725411955959505	0.25862705977979755	0.11822951304219316	0.2438483706495234	0.2660164043449346	0.32513116086603117	0.051725411955959505	0.2734057489100717	0.03695764653706852	0.32513116086603117	0.13302786194664104	0.02955737826054829	0.41380329564767604	0.0812827902165078	0.08867213478164486	0.14039754673760438
Clade_B4	5.379442843419788	7.359787186876524	5.4237789108106105	14.608734205275992	16.892041675903346	5.216877262986773	6.86470110101234	4.743959210818001	5.549397768417942	9.295795462942438	9.23668070642134	6.140545333628907	5.711963348850957	7.514963422744403	11.490430798788147	7.788369171654474	5.3502808158439255	5.453336289071159	8.594442802246526	4.256262469518954	4.7365698662528635	5.0025862705977975	3.4360452227887386	5.3868321879849255	7.086381437966453	6.184881401019729	7.581467523830637	4.98854482299904	2.6016260162601625	5.261213330377595	6.753860932535284	3.768565728219907	3.3104263651814083	4.780905933643686	4.913914135816153	4.766127244513411	4.219315746693268	2.342422227148452	2.9787863108877226	2.5197664967117417	2.3132067105165914	2.6306066651887976	2.667553388014483	4.130643611911624	3.051799305401611	3.1330820956181187
Clade_B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022168033695411215	0	0.10345082391191901	0	0	0	0	0	0
Clade_D	0.35468853912657944	0.4655287076036355	0.6576516662971994	7.492795389048991	7.0346560260104924	0.9458361043375453	0.8349959358604891	1.4557008793320032	4.101086233651075	15.857533436784157	13.38210300746324	12.724451341166038	16.367398211778617	15.185103081356683	15.369836695485112	9.532254489026823	6.584392550990245	5.4237789108106105	6.303576707064735	12.709672652035763	20.608881992167294	10.943619300968004	7.82531589448016	2.556713219537427	5.6602379368949975	4.751348555383138	10.57415207271115	12.342029413938365	5.890613451589061	8.73420527599202	13.55205793246139	23.54984112909185	23.860193600827607	24.325722308431242	18.946279465011454	20.298529520431536	22.655730436710265	15.495455553092441	6.681942493901988	7.7662011379590625	10.804818564777179	11.970738195522056	9.657873346634153	12.665336584644942	14.379664523756745	17.98566467154363
