Lat	Long	Speed	Temp	Sal	Chla
31.69873333	129.1173383	15.4	23.67	34.18	2.06
31.69516667	129.1145333	15.4	23.692	34.172	2.1
31.69161167	129.1116983	15.4	23.7	34.167	2.15
31.68804333	129.108885	15.5	23.707	34.175	2.14
31.68452667	129.1060917	15.4	23.712	34.178	2.41
31.68094667	129.10322	15.4	23.711	34.172	2.16
31.67737667	129.1003967	15.4	23.711	34.174	2.18
31.67382667	129.0975517	15.4	23.712	34.182	2.13
31.67027	129.0947083	15.5	23.713	34.179	2.21
31.66674	129.091865	15.5	23.714	34.184	2.22
31.66319833	129.08903	15.5	23.724	34.185	2.15
31.65968667	129.0861583	15.4	23.729	34.193	2.26
31.65614833	129.0832967	15.4	23.731	34.193	2.16
31.65261	129.0804517	15.4	23.741	34.194	2.22
31.64909333	129.077595	15.3	23.755	34.191	2.22
31.64556667	129.07475	15.3	23.76	34.192	2.32
31.64204333	129.0719233	15.4	23.756	34.177	2.19
31.63847667	129.0691133	15.4	23.743	34.173	2.25
31.63495333	129.066245	15.5	23.738	34.165	2.15
31.63138167	129.0633617	15.4	23.73	34.16	2.25
31.62784833	129.0604533	15.4	23.727	34.155	2.21
31.62434167	129.0575917	15.4	23.719	34.159	2.1
31.62081167	129.0547667	15.4	23.721	34.157	2.19
31.617205	129.0519883	15.3	23.712	34.154	2.23
31.61369333	129.049215	15.3	23.708	34.152	2.17
31.61015667	129.0464133	15.3	23.711	34.156	2.09
31.60661833	129.04358	15.3	23.713	34.16	2.11
31.60311333	129.0407433	15.3	23.726	34.165	2.11
31.59958833	129.0379567	15.3	23.748	34.239	2.1
31.59608167	129.0351633	15.4	23.822	34.304	1.92
31.592545	129.0323283	15.3	23.91	34.343	1.74
31.589025	129.0294583	15.4	24.011	34.383	1.56
31.58549667	129.0265933	15.4	24.095	34.42	1.54
31.58196833	129.02375	15.4	24.178	34.446	1.45
31.57845333	129.0208383	15.4	24.233	34.462	1.41
31.57491	129.0179583	15.4	24.311	34.492	1.33
31.57133833	129.0150983	15.5	24.342	34.511	1.23
31.56777333	129.01225	15.4	24.402	34.532	1.13
31.564225	129.0093783	15.5	24.458	34.556	1.07
31.56064667	129.0065867	15.5	24.489	34.57	1.08
31.55707167	129.00374	15.5	24.53	34.573	1
31.55348833	129.0008983	15.5	24.557	34.573	1.02
31.54985667	128.99808	15.6	24.566	34.57	1.02
31.54628333	128.9952733	15.6	24.572	34.568	1.03
31.54266333	128.992425	15.5	24.569	34.572	1.06
31.53905333	128.9896233	15.5	24.568	34.564	1.07
31.53543167	128.9868067	15.6	24.566	34.571	1.1
31.53180333	128.9840617	15.5	24.553	34.565	1.13
31.52821	128.9812433	15.4	24.548	34.549	1.15
31.52464667	128.9785233	15.5	24.539	34.552	1.2
31.52102833	128.9757983	15.4	24.534	34.546	1.23
31.517405	128.9730417	15.5	24.527	34.538	1.29
31.513785	128.9702833	15.5	24.522	34.545	1.23
31.51016	128.9675367	15.5	24.52	34.536	1.22
31.506545	128.9648	15.5	24.511	34.529	1.2
31.50293833	128.9620467	15.4	24.503	34.522	1.23
31.49935333	128.959305	15.5	24.501	34.518	1.22
31.49571167	128.9565117	15.5	24.5	34.52	1.3
31.49209333	128.9537433	15.5	24.492	34.508	1.27
31.48848833	128.9510017	15.5	24.489	34.514	1.27
31.48490167	128.948225	15.4	24.482	34.507	1.26
31.48132333	128.9454733	15.4	24.481	34.508	1.25
31.47772333	128.942695	15.4	24.472	34.499	1.26
31.47411333	128.93995	15.5	24.469	34.493	1.21
31.47051667	128.9371833	15.4	24.462	34.492	1.25
31.46692167	128.9344233	15.4	24.455	34.48	1.25
31.46331833	128.9316733	15.5	24.451	34.483	1.19
31.459725	128.9289083	15.4	24.444	34.484	1.21
31.45612167	128.926145	15.5	24.435	34.473	1.3
31.45251	128.9233983	15.4	24.426	34.465	1.23
31.44890167	128.9206517	15.4	24.416	34.475	1.21
31.44528167	128.9179083	15.5	24.404	34.466	1.25
31.441665	128.9151383	15.5	24.391	34.456	1.26
31.43804167	128.9123883	15.5	24.381	34.456	1.22
31.43443667	128.90961	15.5	24.367	34.457	1.29
31.43080667	128.9068267	15.6	24.357	34.452	1.3
31.42718167	128.9040267	15.6	24.347	34.443	1.3
31.42353667	128.901245	15.6	24.341	34.44	1.3
31.419905	128.898405	15.7	24.333	34.435	1.29
31.41624167	128.8955983	15.7	24.326	34.435	1.29
31.41255833	128.8928183	15.8	24.315	34.428	1.33
31.40889	128.88999	15.8	24.313	34.428	1.35
31.40522667	128.8871583	15.8	24.311	34.429	1.3
31.40154833	128.8843367	15.8	24.308	34.434	1.3
31.39789167	128.881505	15.8	24.307	34.427	1.31
31.39423167	128.8786667	15.8	24.307	34.428	1.25
31.39057	128.8758067	15.8	24.31	34.43	1.27
31.38688	128.87301	15.8	24.309	34.427	1.31
31.38322667	128.870135	15.7	24.307	34.425	1.29
31.37956167	128.867295	15.8	24.302	34.424	1.3
31.37588833	128.8644767	15.8	24.297	34.415	1.28
31.37223	128.86162	15.8	24.293	34.416	1.4
31.36860833	128.8588167	15.7	24.287	34.411	1.39
31.36494333	128.8559917	15.7	24.278	34.405	1.47
31.36125667	128.8532033	15.8	24.274	34.412	1.4
31.357595	128.8503567	15.7	24.268	34.402	1.41
31.35392833	128.8475233	15.8	24.257	34.4	1.38
31.35026333	128.8447083	15.7	24.251	34.392	1.44
31.34660167	128.8419267	15.7	24.244	34.392	1.44
31.34298833	128.8390983	15.6	24.241	34.394	1.46
31.33934833	128.8362883	15.6	24.214	34.395	1.5
31.33570667	128.833465	15.7	24.162	34.376	1.46
31.33204667	128.8306467	15.7	24.126	34.373	1.48
31.32840333	128.8278317	15.7	24.089	34.363	1.47
31.32476167	128.8250067	15.7	24.05	34.361	1.5
31.32110333	128.822205	15.8	24.033	34.356	1.49
31.31744	128.81938	15.7	24.005	34.347	1.44
31.31378	128.8165683	15.7	23.992	34.34	1.49
31.31007333	128.81383	15.7	23.966	34.334	1.46
31.306425	128.8110383	15.6	23.953	34.342	1.46
31.30274667	128.8083017	15.7	23.936	34.34	1.58
31.29907167	128.8055633	15.6	23.922	34.33	1.51
31.29541333	128.802805	15.6	23.92	34.333	1.52
31.29174167	128.8000633	15.6	23.937	34.353	1.52
31.288075	128.79732	15.6	23.951	34.355	1.54
31.28440333	128.79458	15.6	23.97	34.375	1.43
31.28075	128.7918217	15.6	24.008	34.384	1.35
31.27709167	128.7891117	15.5	24.043	34.407	1.33
31.27341833	128.7864467	15.5	24.063	34.411	1.26
31.26973333	128.7837933	15.6	24.074	34.408	1.42
31.26605667	128.7811283	15.5	24.075	34.415	1.27
31.26239	128.7784517	15.5	24.064	34.406	1.33
31.25876667	128.7757033	15.5	24.047	34.38	1.39
31.255145	128.7729617	15.5	23.987	34.341	1.48
31.25152667	128.770185	15.5	23.907	34.283	1.71
31.24791333	128.7674133	15.5	23.824	34.237	1.71
31.24432167	128.7646467	15.4	23.779	34.201	1.79
31.240715	128.7618817	15.4	23.751	34.198	1.82
31.237115	128.7591567	15.4	23.733	34.189	1.76
31.23355167	128.7563867	15.4	23.734	34.193	1.89
31.22993667	128.7536617	15.3	23.745	34.199	1.85
31.22636667	128.7508917	15.4	23.752	34.207	1.84
31.22281333	128.74812	15.4	23.763	34.217	1.86
31.2193	128.7453317	15.3	23.773	34.223	1.84
31.21577	128.74255	15.2	23.783	34.225	1.84
31.21225333	128.7398133	15.2	23.795	34.256	1.8
31.20874667	128.7370433	15.2	23.802	34.255	1.73
31.20523	128.734275	15.2	23.804	34.258	1.73
31.201725	128.7314917	15.2	23.808	34.255	1.76
31.19821	128.7287283	15.2	23.797	34.248	1.75
31.19468333	128.7259283	15.2	23.786	34.24	1.73
31.19118333	128.7231533	15.2	23.755	34.215	1.76
31.18770167	128.7203667	15.2	23.742	34.214	1.68
31.18417167	128.7176333	15.2	23.721	34.203	1.73
31.18067833	128.71485	15.2	23.692	34.197	1.77
31.17714333	128.7120967	15.2	23.678	34.202	1.71
31.17361833	128.70938	15.2	23.681	34.194	1.6
31.170075	128.7066433	15.3	23.701	34.217	1.52
31.166545	128.703865	15.3	23.73	34.235	1.5
31.16301833	128.701085	15.3	23.761	34.25	1.58
31.15949667	128.6982933	15.3	23.805	34.285	1.47
