Site	Lat	Long	min_row	min_dist	Lat.1	Long.1	Speed	Temp	Sal	Chla	min_row	min_dist	Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
S35	33.177	133.65	17322	33.16808713	33.17715833	133.6496983	1.6	24.091	34.194	1.42	1694	578.9436387	33.18174333	133.6525917	1.4	24.179	34.272	23.059	1531.34	1.41	544.5633998	72.56030024	7.504977267
S37	32.802	133.554	18214	160.8512688	32.80316167	133.5550283	13.9	24.757	34.611	0.42	1487	23574.41468	32.859565	133.7963717	9	25.072	34.623	23.056	1533.96	0.83	85.34519226	32.84567439	2.598369696
S38	32.32	133.136	18660	17.66010334	32.31988	133.1361233	0.7	25.508	34.671	0.74	1445	81511.83649	32.755195	133.835285	9.7	25.759	34.677	22.886	1535.65	0.69	111.8396184	25.26556009	4.426579105
S40	32.496	133.934	18950	94.91055544	32.49677833	133.93358	2	25.92	34.771	0.52	1340	22591.59436	32.68001833	134.03723	6	25.643	34.636	22.891	1535.32	0.91	54.9970314	30.96271606	1.776234078
S41	32.513	133.755	19399	182.3695567	32.512855	133.7530667	11.8	25.833	34.757	0.46	1439	27052.9823	32.74110667	133.85718	6.2	25.729	34.578	22.82	1535.45	0.96	93.53437853	30.96271606	3.020871242
S42	32.837	134.648	19819	61.14967052	32.83748833	134.6476967	8.9	25.72	34.768	0.72	1289	53088.55179	32.64290667	134.130225	6.3	25.894	34.773	22.916	1536.09	0.46	36.93264994	12.05885434	3.06269973
S43	32.906	135.168	20267	52.48659149	32.90643167	135.16823	3.1	25.522	34.708	0.71	1289	101512.3328	32.64290667	134.130225	6.3	25.894	34.773	22.916	1536.09	0.46	36.93264994	12.05885434	3.06269973
S44	32.946	135.563	20714	84.27604122	32.94674833	135.5628433	2.8	25.543	34.73	0.48	1289	138351.0508	32.64290667	134.130225	6.3	25.894	34.773	22.916	1536.09	0.46	36.93264994	12.05885434	3.06269973
S45	33.085	135.956	21078	154.9967119	33.08616333	135.95692	16.6	25.402	34.723	0.81	1289	177777.367	32.64290667	134.130225	6.3	25.894	34.773	22.916	1536.09	0.46	36.93264994	12.05885434	3.06269973
S46	34.485	137.524	21526	68.43253552	34.485615	137.5239417	15	22.234	34.436	1.03	1774	196644.5974	34.71383833	139.6498183	13.9	22.999	34.578	23.635	1528.81	0.97	381.4631595	65.82159758	5.792389705
S47	35.041	139.252	21973	174.8972317	35.042015	139.2534667	11.5	21.605	34.21	1.28	1752	44286.46705	34.80091667	139.639215	14.7	21.703	34.425	23.884	1525.27	1.32	1687.375253	164.3637681	10.26766728
S49	35.201	139.484	22831	67.1475646	35.20149167	139.48357	0.7	21.518	34.245	1.45	1752	46592.20059	34.80091667	139.639215	14.7	21.703	34.425	23.884	1525.27	1.32	1687.375253	164.3637681	10.26766728
S50	35.185	139.504	23271	43.86655076	35.18528667	139.5043317	0.2	21.972	34.485	1.29	1752	44362.50185	34.80091667	139.639215	14.7	21.703	34.425	23.884	1525.27	1.32	1687.375253	164.3637681	10.26766728
S51	35.162	139.406	23724	7.957006024	35.16207167	139.4060033	0.2	21.881	34.448	1.43	1752	45366.85921	34.80091667	139.639215	14.7	21.703	34.425	23.884	1525.27	1.32	1687.375253	164.3637681	10.26766728
S52	35.161	139.494	24128	14.21454823	35.16107667	139.493875	0.1	22.079	34.465	1.38	1752	42090.77385	34.80091667	139.639215	14.7	21.703	34.425	23.884	1525.27	1.32	1687.375253	164.3637681	10.26766728
S53	34.418	139.788	24597	88.06058208	34.41876	139.7882767	0.3	24.543	34.67	0.78	1908	124.8424623	34.41824667	139.789325	0.6	24.628	34.685	23.237	1532.98	0.77	282.4988295	37.65533079	7.504603516
S54	34.039	140.114	24986	24.12683312	34.039155	140.1141833	1.3	24.995	34.685	0.59	2202	24.12683312	34.039155	140.1141833	1.3	24.995	34.685	23.126	1533.86	0.59	253.5880325	30.85180133	8.230267744
S55	33.664	140.376	25425	401.3958093	33.66546333	140.3720417	1.2	24.966	34.775	0.68	2465	2015.0508	33.66829833	140.35489	1.7	24.813	34.781	23.254	1533.56	0.71	133.4890102	27.10302415	4.931007498
