Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
23.10787167	122.3107517	15.7	28.108	34.69	22.147	1540.96	0.02	25.32564349	5.284815404	4.887872853
23.11104833	122.3074383	15.8	28.105	34.687	22.146	1540.95	0.02	25.35846931	5.757392068	4.424913153
23.11423667	122.30415	15.6	28.082	34.705	22.168	1540.92	0.02	25.31196607	5.510817263	4.610623779
23.11738833	122.3008617	15.6	28.074	34.697	22.164	1540.89	0.03	25.77190054	5.487861618	4.772868989
23.12056667	122.2975883	15.7	28.067	34.704	22.172	1540.89	0.02	25.66036737	5.528559942	4.666670346
23.12371333	122.294245	15.8	28.073	34.697	22.165	1540.89	0.02	25.906561	6.441594394	4.075302382
23.12684333	122.2908733	15.7	28.069	34.698	22.166	1540.88	0.01	25.71632047	6.575697998	3.973141421
23.12997167	122.287465	15.9	28.061	34.69	22.163	1540.85	0.03	25.6555181	7.849069264	3.284332214
23.13311	122.284065	15.9	28.05	34.694	22.17	1540.84	0.04	25.4647802	7.998532847	3.186093406
23.13622	122.28072	15.6	28.019	34.655	22.15	1540.71	0.02	24.86682808	8.653907104	2.881912508
23.13931	122.2773283	15.6	27.97	34.624	22.143	1540.57	0.06	25.31644232	9.052728191	2.811044046
23.14241333	122.2739867	15.7	27.904	34.572	22.126	1540.35	0.05	25.37674732	9.897680571	2.567803217
23.14549333	122.2706117	15.7	27.851	34.543	22.121	1540.2	0.05	25.0344387	10.27242385	2.444382764
23.14856	122.26727	15.6	27.809	34.503	22.105	1540.05	0.04	25.14559885	10.2882141	2.450623144
23.15164667	122.263915	15.6	27.768	34.467	22.091	1539.91	0.05	25.14398243	10.16230508	2.48929157
23.15474167	122.260575	15.7	27.726	34.431	22.078	1539.78	0.06	25.49735734	10.41236961	2.462304368
23.15782167	122.2572217	15.6	27.701	34.401	22.063	1539.68	0.06	25.70152398	10.70823732	2.403536518
23.16093167	122.2538717	15.8	27.685	34.387	22.058	1539.62	0.06	24.97773956	10.9560878	2.286722658
23.16401667	122.25048	15.7	27.674	34.387	22.061	1539.6	0.05	25.57233449	11.00079909	2.336792914
23.16713667	122.2471283	15.9	27.671	34.369	22.049	1539.57	0.05	25.24531971	10.77594966	2.347797592
23.17024333	122.2437683	15.7	27.671	34.368	22.048	1539.57	0.06	25.47522478	11.20770476	2.275265294
23.17332	122.2403967	15.7	27.681	34.364	22.042	1539.58	0.06	25.19048567	10.40720205	2.431115779
23.17640667	122.2370067	15.7	27.675	34.357	22.039	1539.56	0.05	25.67267705	10.25126496	2.513015454
23.17947333	122.2336217	15.6	27.675	34.343	22.028	1539.54	0.07	25.85533283	10.18541208	2.547077847
23.18256	122.230255	15.6	27.689	34.348	22.028	1539.58	0.06	25.65850226	10.2476974	2.506590386
23.18558	122.2268567	15.6	27.687	34.332	22.016	1539.55	0.05	25.73360376	10.43175553	2.472345589
23.18866333	122.2235	15.7	27.69	34.323	22.009	1539.55	0.05	25.70848703	9.618798783	2.675998605
23.19170333	122.220145	15.5	27.679	34.312	22.003	1539.51	0.06	26.0713118	10.07269439	2.589579599
23.19473333	122.2167983	15.4	27.685	34.302	21.994	1539.51	0.07	25.78756741	9.615646355	2.688232429
23.197725	122.2135067	15.1	27.7	34.291	21.981	1539.53	0.09	26.17090831	10.0591636	2.604816139
23.20071667	122.2101917	15.3	27.707	34.292	21.979	1539.55	0.07	25.92023843	9.986253426	2.60306374
23.20368333	122.20687	15.2	27.696	34.297	21.987	1539.53	0.06	25.79142196	9.977412356	2.590419658
23.206745	122.2036033	15.3	27.684	34.292	21.987	1539.5	0.05	26.13659041	10.13310296	2.583610649
23.20979667	122.200345	15.4	27.651	34.302	22.005	1539.44	0.06	25.73957209	10.24423578	2.519290336
23.21285333	122.1970717	15.4	27.616	34.292	22.009	1539.35	0.05	26.07367426	10.7374308	2.433208218
23.21590667	122.1938333	15.2	27.593	34.3	22.022	1539.31	0.05	26.01237453	11.23034906	2.318047692
23.21900833	122.1905983	15.4	27.583	34.319	22.04	1539.31	0.04	26.08921679	10.87376359	2.410345458
23.22211167	122.1873717	15.5	27.577	34.335	22.054	1539.32	0.04	26.4825049	10.86547603	2.442366099
23.225255	122.1841467	15.5	27.584	34.35	22.063	1539.35	0.04	26.1513869	11.26457387	2.321836852
23.22843667	122.18092	15.5	27.593	34.365	22.071	1539.39	0.04	26.26727198	11.62285015	2.266943047
23.23160333	122.1777333	15.4	27.614	34.38	22.075	1539.46	0.06	26.30183856	12.56120781	2.09668584
23.23476167	122.174535	15.5	27.622	34.381	22.074	1539.48	0.05	26.11968014	12.35199512	2.11739044
23.23787333	122.1713233	15.3	27.643	34.39	22.074	1539.54	0.07	26.36798756	12.36045132	2.13699501
23.241015	122.1681033	15.4	27.665	34.418	22.088	1539.62	0.07	26.39447203	12.47933333	2.125508884
23.24414833	122.1648733	15.4	27.696	34.427	22.084	1539.7	0.08	26.28915586	12.39396912	2.125631282
23.247275	122.16168	15.4	27.733	34.425	22.071	1539.78	0.06	25.57171279	12.78656319	2.002664007
23.250405	122.1584683	15.4	27.749	34.438	22.075	1539.83	0.06	26.05949947	12.70202924	2.052941756
23.25355167	122.15524	15.5	27.749	34.427	22.068	1539.82	0.05	26.02393817	12.71449842	2.048207915
23.25672167	122.1520083	15.6	27.737	34.439	22.08	1539.81	0.06	26.39397467	12.41879935	2.132114129
23.259905	122.148795	15.6	27.73	34.429	22.075	1539.78	0.07	25.67640726	12.56162078	2.047093253
23.26308833	122.145545	15.8	27.738	34.431	22.074	1539.8	0.07	26.20497753	12.67773522	2.069928404
23.26627	122.1422567	15.7	27.722	34.455	22.097	1539.8	0.05	25.95691879	12.40694423	2.093030126
23.26949333	122.1389983	15.8	27.685	34.456	22.109	1539.72	0.05	26.10090477	12.51434085	2.095990952
23.272685	122.135735	15.8	27.648	34.478	22.138	1539.67	0.06	26.4698222	11.89096222	2.231034847
23.27586333	122.1324467	15.6	27.636	34.469	22.135	1539.63	0.06	26.59279468	11.80905747	2.254997071
23.27903333	122.1291783	15.7	27.634	34.476	22.141	1539.63	0.05	26.76724401	12.33048163	2.175690515
23.28214667	122.1258933	15.6	27.636	34.463	22.131	1539.62	0.05	26.55972018	12.71671031	2.089775835
23.28523	122.1226467	15.4	27.649	34.468	22.131	1539.65	0.07	26.74560881	12.19420938	2.197760456
23.28835167	122.119435	15.4	27.653	34.484	22.141	1539.69	0.05	26.13895288	12.22411421	2.139373564
23.29142	122.116195	15.3	27.647	34.463	22.127	1539.64	0.06	26.52204509	12.34604053	2.155353369
23.29451333	122.1129683	15.5	27.659	34.469	22.128	1539.68	0.06	26.97725464	11.45835956	2.358621626
23.29763333	122.1097367	15.4	27.666	34.471	22.127	1539.7	0.05	26.44868436	10.86445549	2.441216003
23.30075167	122.1064767	15.4	27.674	34.454	22.112	1539.69	0.05	26.76997949	10.16247805	2.649620066
23.30383833	122.103175	15.6	27.67	34.449	22.11	1539.68	0.07	25.86403665	8.781478825	2.955536941
23.30695833	122.099895	15.6	27.663	34.425	22.094	1539.63	0.06	26.38265971	8.784815036	3.012329458
23.31003	122.0965517	15.5	27.648	34.42	22.095	1539.59	0.05	26.20559923	8.168216944	3.21718126
23.31311833	122.093215	15.6	27.623	34.407	22.093	1539.52	0.05	26.57053778	8.467405732	3.15016086
23.31617333	122.0897933	15.7	27.567	34.376	22.088	1539.35	0.04	25.86067946	8.368895594	3.10568459
23.31922833	122.086385	15.6	27.527	34.37	22.096	1539.25	0.06	26.33715119	8.343310763	3.167884639
23.32228167	122.0829433	15.7	27.509	34.365	22.099	1539.21	0.05	26.3668685	8.905694874	2.96567394
23.32536833	122.079515	15.8	27.518	34.367	22.097	1539.23	0.04	26.73578593	8.317464311	3.224416701
23.32842167	122.07605	15.8	27.525	34.383	22.107	1539.27	0.04	26.92030682	8.466651138	3.182218411
23.33153	122.0726217	15.9	27.527	34.375	22.1	1539.26	0.04	26.4475653	7.981650708	3.325317227
23.334655	122.069205	15.9	27.519	34.394	22.117	1539.27	0.04	26.30382801	8.778724234	3.000639751
23.33776833	122.0657633	15.9	27.51	34.385	22.113	1539.24	0.05	26.15287898	8.819007423	2.970316862
23.340865	122.0623467	15.7	27.499	34.391	22.121	1539.22	0.05	25.98017041	8.139032118	3.196591086
23.34388833	122.058895	15.7	27.475	34.406	22.14	1539.19	0.04	26.21927666	8.38743611	3.137374519
23.34695333	122.0555033	15.5	27.451	34.414	22.154	1539.15	0.06	26.24899397	8.592527726	3.059724393
