Accession_no	Family	Genus	Species	Clone_or_strain_name	Clone_and_organism
JF698773	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	MALINA_St320_70m_Nano_ES065_ES065_G2	JF698773|Chrysochromulina_sp(MALINA_St320_70m_Nano_ES065_ES065_G2)
AB771880	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K2AUG2011	AB771880|Chrysochromulina_sp(K2AUG2011)
KC488456	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	HL5aSF04_58	KC488456|Chrysochromulina_sp(HL5aSF04_58)
AB622291	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K7JUL2009	AB622291|Chrysochromulina_sp(K7JUL2009)
AB622316	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K3DEC2009	AB622316|Chrysochromulina_sp(K3DEC2009)
AB771873	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K3APR2011	AB771873|Chrysochromulina_sp(K3APR2011)
KC488457	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	HL5aSF10_47	KC488457|Chrysochromulina_sp(HL5aSF10_47)
KC488449	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	BBL1SF10_59	KC488449|Chrysochromulina_sp(BBL1SF10_59)
AB771839	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K2NOV2010	AB771839|Chrysochromulina_sp(K2NOV2010)
AB771852	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K3DEC2010	AB771852|Chrysochromulina_sp(K3DEC2010)
AB771799	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K2JUN2010	AB771799|Chrysochromulina_sp(K2JUN2010)
AB771829	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K2OCT2010	AB771829|Chrysochromulina_sp(K2OCT2010)
AB771812	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K5JUL2010	AB771812|Chrysochromulina_sp(K5JUL2010)
AB771866	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K3JAN2011	AB771866|Chrysochromulina_sp(K3JAN2011)
EF172966	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	B04N10	EF172966|Chrysochromulina_sp(B04N10)
EF172967	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	N10E02	EF172967|Chrysochromulina_sp(N10E02)
JF730780	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Ch8A2mE11	JF730780|Chrysochromulina_sp(Ch8A2mE11)
AB622326	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K1APR2010	AB622326|Chrysochromulina_sp(K1APR2010)
AB622303	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K10AUG2009	AB622303|Chrysochromulina_sp(K10AUG2009)
AB622336	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	K5MAY2010	AB622336|Chrysochromulina_sp(K5MAY2010)
KF130428	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8360_003	KF130428|Chrysochromulina_sp(ST8360_003)
KF130215	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST6000_086	KF130215|Chrysochromulina_sp(ST6000_086)
KF129804	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3900_016	KF129804|Chrysochromulina_sp(ST3900_016)
KF129663	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3500_080	KF129663|Chrysochromulina_sp(ST3500_080)
KF130521	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_013	KF130521|Chrysochromulina_sp(ST8900_013)
AJ402334	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI11019	AJ402334|Chrysochromulina_sp(OLI11019)
AJ402347	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI11072	AJ402347|Chrysochromulina_sp(OLI11072)
KF129696	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3500_121	KF129696|Chrysochromulina_sp(ST3500_121)
KF130550	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_047	KF130550|Chrysochromulina_sp(ST8900_047)
KF129692	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3500_114	KF129692|Chrysochromulina_sp(ST3500_114)
KF129796	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3900_006	KF129796|Chrysochromulina_sp(ST3900_006)
KF129833	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST3900_057	KF129833|Chrysochromulina_sp(ST3900_057)
KF130505	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8360_121	KF130505|Chrysochromulina_sp(ST8360_121)
KF130528	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_020	KF130528|Chrysochromulina_sp(ST8900_020)
KF130539	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_032	KF130539|Chrysochromulina_sp(ST8900_032)
KF130585	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_093	KF130585|Chrysochromulina_sp(ST8900_093)
KF130605	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ST8900_118	KF130605|Chrysochromulina_sp(ST8900_118)
JF791092	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	3540	JF791092|Chrysochromulina_sp(3540)
EU371174	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	NPK2_66	EU371174|Chrysochromulina_sp(NPK2_66)
AF107082	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI16108	AF107082|Chrysochromulina_sp(OLI16108)
AF107092	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI51102	AF107092|Chrysochromulina_sp(OLI51102)
FJ537355	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Biosope_T84_038	FJ537355|Chrysochromulina_sp(Biosope_T84_038)
AF107080	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI16029	AF107080|Chrysochromulina_sp(OLI16029)
HM581635	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	CN207St155_8Ae05E_07Oct07_10m	HM581635|Chrysochromulina_sp(CN207St155_8Ae05E_07Oct07_10m)
FN263276	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	B5	FN263276|Chrysochromulina_sp(B5)
AF107083	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	OLI26017	AF107083|Chrysochromulina_sp(OLI26017)
HM581634	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	CN207St155_8Ae02U_07Oct07_10m	HM581634|Chrysochromulina_sp(CN207St155_8Ae02U_07Oct07_10m)
KC582958	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	RS_12f_10m_00108	KC582958|Chrysochromulina_sp(RS_12f_10m_00108)
HM581632	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	CN207St70_8Ae02L_01Oct07_10m	HM581632|Chrysochromulina_sp(CN207St70_8Ae02L_01Oct07_10m)
HM581636	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	CN207St155_8Ae02Y_07Oct07_90m	HM581636|Chrysochromulina_sp(CN207St155_8Ae02Y_07Oct07_90m)
HM581637	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	CN207St155_8Be02S_07Oct07_90m	HM581637|Chrysochromulina_sp(CN207St155_8Be02S_07Oct07_90m)
KJ763084	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGUH406	KJ763084|Chrysochromulina_sp(SGUH406)
DQ369019	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	UEPAC47p4	DQ369019|Chrysochromulina_sp(UEPAC47p4)
FR874448	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ws_138_1804C04	FR874448|Chrysochromulina_sp(ws_138_1804C04)
FR874463	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	ws_138_18040	FR874463|Chrysochromulina_sp(ws_138_18040)
KJ759445	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGYO1481	KJ759445|Chrysochromulina_sp(SGYO1481)
KJ762928	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGUH1232	KJ762928|Chrysochromulina_sp(SGUH1232)
KJ763239	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGUH646	KJ763239|Chrysochromulina_sp(SGUH646)
KJ763331	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGUH808	KJ763331|Chrysochromulina_sp(SGUH808)
HM581603	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	FS04R13_10_27Feb07_75m_sort	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)
KJ762999	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	SGUH1383	KJ762999|Chrysochromulina_sp(SGUH1383)
JQ956020	Chrysochromulinaceae	Chrysochromulinaceae	Chrysochromulinaceae	AN0678S11	JQ956020|Chrysochromulinaceae(AN0678S11)
JX453461	Clade_B3	Clade_B3	Clade_B3	Finsevatn_AOY0H	JX453461|Clade_B3(Finsevatn_AOY0H)
HM581601	Clade_B3	Clade_B3	Clade_B3	FS04R13_7_27Feb07_75m_sort	HM581601|Clade_B3(FS04R13_7_27Feb07_75m_sort)
HM565914	Clade_B3	Clade_B3	Clade_B3	SGZW1078	HM565914|Clade_B3(SGZW1078)
HQ868612	Clade_B3	Clade_B3	Clade_B3	SHAX847	HQ868612|Clade_B3(SHAX847)
HQ864929	Clade_B3	Clade_B3	Clade_B3	SGPX503	HQ864929|Clade_B3(SGPX503)
HQ866170	Clade_B3	Clade_B3	Clade_B3	SGSP511	HQ866170|Clade_B3(SGSP511)
EU682596	Clade_B3	Clade_B3	Clade_B3	05M100r_16	EU682596|Clade_B3(05M100r_16)
HM561162	Clade_B3	Clade_B3	Clade_B3	CFL133DA03	HM561162|Clade_B3(CFL133DA03)
JX680399	Clade_B3	Clade_B3	Clade_B3	Ma135_Pry1_C1	JX680399|Clade_B3(Ma135_Pry1_C1)
JX680411	Clade_B3	Clade_B3	Clade_B3	Ma135_Pry1_C15	JX680411|Clade_B3(Ma135_Pry1_C15)
JX680440	Clade_B3	Clade_B3	Clade_B3	Ma135_Pry1_C49	JX680440|Clade_B3(Ma135_Pry1_C49)
JX680412	Clade_B3	Clade_B3	Clade_B3	Ma135_Pry1_C22	JX680412|Clade_B3(Ma135_Pry1_C22)
JX680422	Clade_B3	Clade_B3	Clade_B3	Ma135_Pry1_C54	JX680422|Clade_B3(Ma135_Pry1_C54)
HM581604	Clade_B3	Clade_B3	Clade_B3	FS08L1_2_27Feb07_141m_sort	HM581604|Clade_B3(FS08L1_2_27Feb07_141m_sort)
EF173004	Clade_B3	Clade_B3	Clade_B3	F01N5	EF173004|Clade_B3(F01N5)
JQ956276	Clade_B3	Clade_B3	Clade_B3	MAL106_6_B8	JQ956276|Clade_B3(MAL106_6_B8)
HM581600	Clade_B3	Clade_B3	Clade_B3	FS04R14_1_27Feb07_75m_sort	HM581600|Clade_B3(FS04R14_1_27Feb07_75m_sort)
KJ763740	Clade_B3	Clade_B3	Clade_B3	SGYP525	KJ763740|Clade_B3(SGYP525)
HM858457	Clade_B4	Clade_B4	Clade_B4	MO_011_5m_00022	HM858457|Clade_B4(MO_011_5m_00022)
HM581551	Clade_B4	Clade_B4	Clade_B4	FS04E051_31Mar05_5m	HM581551|Clade_B4(FS04E051_31Mar05_5m)
HM581580	Clade_B4	Clade_B4	Clade_B4	FS14SK029_31July05_5m	HM581580|Clade_B4(FS14SK029_31July05_5m)
EU499961	Clade_B4	Clade_B4	Clade_B4	dhot2d7	EU499961|Clade_B4(dhot2d7)
JN693049	Clade_B4	Clade_B4	Clade_B4	EMC_2B06	JN693049|Clade_B4(EMC_2B06)
GQ344764	Clade_B4	Clade_B4	Clade_B4	cRFM1_81	GQ344764|Clade_B4(cRFM1_81)
JN693092	Clade_B4	Clade_B4	Clade_B4	EMC_2H11	JN693092|Clade_B4(EMC_2H11)
JQ782308	Clade_B4	Clade_B4	Clade_B4	HD1bt0_82	JQ782308|Clade_B4(HD1bt0_82)
JQ782309	Clade_B4	Clade_B4	Clade_B4	HD1bt0_17	JQ782309|Clade_B4(HD1bt0_17)
GQ863798	Clade_B4	Clade_B4	Clade_B4	AMT15_1_10m_1	GQ863798|Clade_B4(AMT15_1_10m_1)
KF130516	Clade_B4	Clade_B4	Clade_B4	ST8900_007	KF130516|Clade_B4(ST8900_007)
KF130564	Clade_B4	Clade_B4	Clade_B4	ST8900_063	KF130564|Clade_B4(ST8900_063)
JN693133	Clade_B5	Clade_B5	Clade_B5	EMD_2B06	JN693133|Clade_B5(EMD_2B06)
HQ394028	Clade_B5	Clade_B5	Clade_B5	T4C3_40	HQ394028|Clade_B5(T4C3_40)
AF107087	Clade_B5	Clade_B5	Clade_B5	OLI51033	AF107087|Clade_B5(OLI51033)
AF107089	Clade_B5	Clade_B5	Clade_B5	OLI51059	AF107089|Clade_B5(OLI51059)
JX680366	Prymnesiaceae	Dicrateria	Dicrateria_sp	DH125_Pry1_C19	JX680366|Dicrateria_sp(DH125_Pry1_C19)
FR874498	Prymnesiaceae	Dicrateria	Dicrateria_sp	ws_59_1806A03	FR874498|Dicrateria_sp(ws_59_1806A03)
JX680377	Prymnesiaceae	Haptolina	Haptolina_sp	Ma101_Pry1_C7	JX680377|Haptolina_sp(Ma101_Pry1_C7)
JF698763	Prymnesiaceae	Haptolina	Haptolina_sp	MALINA_St390_3m_Nano_ES021ES021_G6	JF698763|Haptolina_sp(MALINA_St390_3m_Nano_ES021ES021_G6)
KJ763188	Prymnesiaceae	Haptolina	Haptolina_sp	SGUH579	KJ763188|Haptolina_sp(SGUH579)
HM581556	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	FS04G125_01Aug05_5m	HM581556|Prymnesiaceae(FS04G125_01Aug05_5m)
HQ394114	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	T4D4_35	HQ394114|Prymnesiaceae(T4D4_35)
HM581627	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	EN351CTD038_08Apr01_4m	HM581627|Prymnesiaceae(EN351CTD038_08Apr01_4m)
HQ394144	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	T0_73	HQ394144|Prymnesiaceae(T0_73)
HQ869379	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	SHBA727	HQ869379|Prymnesiaceae(SHBA727)
HQ867036	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	SGTB572	HQ867036|Prymnesiaceae(SGTB572)
KC488451	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	HL2SCM10_72	KC488451|Prymnesiaceae(HL2SCM10_72)
JX680340	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	Ma125_Pry1_C57	JX680340|Prymnesiaceae(Ma125_Pry1_C57)
JX680438	Prymnesiaceae	Prymnesiaceae	Prymnesiaceae	Ma130_Pry1_C39	JX680438|Prymnesiaceae(Ma130_Pry1_C39)
JX680421	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	Ma135_Pry1_C41	JX680421|Prymnesium_polylepis(Ma135_Pry1_C41)
HM581609	Prymnesiaceae	Prymnesium	Prymnesium_sp	OC413BATS_O096_75m	HM581609|Prymnesium_sp(OC413BATS_O096_75m)
JX291738	Prymnesiaceae	Prymnesium	Prymnesium_sp	7656BH899_SP6	JX291738|Prymnesium_sp(7656BH899_SP6)
JX291802	Prymnesiaceae	Prymnesium	Prymnesium_sp	7656BH994_SP6	JX291802|Prymnesium_sp(7656BH994_SP6)
EU499962	Prymnesiaceae	Prymnesium	Prymnesium_sp	dhot1g1	EU499962|Prymnesium_sp(dhot1g1)
GQ344667	Prymnesiaceae	Prymnesium	Prymnesium_sp	RFM1_51	GQ344667|Prymnesium_sp(RFM1_51)
FJ537514	Prymnesiaceae	Prymnesium	Prymnesium_sp	Biosope_T35_037	FJ537514|Prymnesium_sp(Biosope_T35_037)
JN693041	Prymnesiaceae	Prymnesium	Prymnesium_sp	EMC_2C05	JN693041|Prymnesium_sp(EMC_2C05)
HQ865286	Prymnesiaceae	Prymnesium	Prymnesium_sp	SGSA653	HQ865286|Prymnesium_sp(SGSA653)
HM103435	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma101_3E_2	HM103435|Prymnesium_sp(Ma101_3E_2)
JX680373	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma101_Pry1_C24	JX680373|Prymnesium_sp(Ma101_Pry1_C24)
JX680386	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma130_Pry1_C4	JX680386|Prymnesium_sp(Ma130_Pry1_C4)
JX680371	Prymnesiaceae	Prymnesium	Prymnesium_sp	MA125_Pry1_C38	JX680371|Prymnesium_sp(MA125_Pry1_C38)
JX680402	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma135_Pry1_C21	JX680402|Prymnesium_sp(Ma135_Pry1_C21)
JX680420	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma135_Pry1_C17	JX680420|Prymnesium_sp(Ma135_Pry1_C17)
JX680406	Prymnesiaceae	Prymnesium	Prymnesium_sp	Ma135_Pry1_C29	JX680406|Prymnesium_sp(Ma135_Pry1_C29)
HM581563	Prymnesiaceae	Prymnesium	Prymnesium_sp	FS04GA64_01Aug05_5m	HM581563|Prymnesium_sp(FS04GA64_01Aug05_5m)
FJ157339	Prymnesiaceae	Prymnesium	Prymnesium_sp	kor_250804_5	FJ157339|Prymnesium_sp(kor_250804_5)
EF172993	Prymnesiaceae	Prymnesium	Prymnesium_sp	SSRPD92	EF172993|Prymnesium_sp(SSRPD92)
KF130470	Prymnesiaceae	Prymnesium	Prymnesium_sp	ST8360_071	KF130470|Prymnesium_sp(ST8360_071)
JN090869	Prymnesiaceae	Prymnesium	Prymnesium_sp	KRL01E9	JN090869|Prymnesium_sp(KRL01E9)
JQ222949	Prymnesiales	Chrysocampanula	Chrysocampanula_spinifera	SHAU528	JQ222949|Chrysocampanula_spinifera(SHAU528)
EU500069	Braarudosphaeraceae	Braarudosphaera	Braarudosphaera_bigelowii	hotxp1g2	EU500069|Braarudosphaera_bigelowii(hotxp1g2)
GU824119	Braarudosphaeraceae	Braarudosphaera	Braarudosphaera_bigelowii	A93F14RM3C06	GU824119|Braarudosphaera_bigelowii(A93F14RM3C06)
EU500068	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	hotxp4e7	EU500068|Braarudosphaeraceae(hotxp4e7)
EU500139	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	hotxp2g2	EU500139|Braarudosphaeraceae(hotxp2g2)
EU500138	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	hotxp3b12	EU500138|Braarudosphaeraceae(hotxp3b12)
EF695229	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	hotp3f12	EF695229|Braarudosphaeraceae(hotp3f12)
EU499958	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	dhot1g3	EU499958|Braarudosphaeraceae(dhot1g3)
KC488453	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	HL5aSCM10_88	KC488453|Braarudosphaeraceae(HL5aSCM10_88)
KF130129	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	ST5960_086	KF130129|Braarudosphaeraceae(ST5960_086)
KF130149	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	ST5960_117	KF130149|Braarudosphaeraceae(ST5960_117)
FJ537341	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	Biosope_T60_034	FJ537341|Braarudosphaeraceae(Biosope_T60_034)
KJ763100	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	SGUH429	KJ763100|Braarudosphaeraceae(SGUH429)
KJ763246	Braarudosphaeraceae	Braarudosphaeraceae	Braarudosphaeraceae	SGUH664	KJ763246|Braarudosphaeraceae(SGUH664)
JX291729	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	7656BH889_SP6	JX291729|Prymnesiophyceae(7656BH889_SP6)
AJ402351	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	OLI11056	AJ402351|Prymnesiophyceae(OLI11056)
GU823799	Syracosphaerales	Syracosphaerales	Syracosphaerales	AB5F13RJ1H08	GU823799|Syracosphaerales(AB5F13RJ1H08)
GU824905	Syracosphaerales	Syracosphaerales	Syracosphaerales	AI5F13RM1D08	GU824905|Syracosphaerales(AI5F13RM1D08)
JX680341	Syracosphaerales	Syracosphaerales	Syracosphaerales	Ma130_Pry1_C40	JX680341|Syracosphaerales(Ma130_Pry1_C40)
