Site1	Site2	Dist_Jaccard	Sim_Jaccard
1	2	0.32367149758454106	0.6763285024154589
1	3	0.30104827066725254	0.6989517293327474
2	3	0.3261595547309833	0.6738404452690168
1	4	0.5306188925081433	0.4693811074918567
2	4	0.5355481008548858	0.4644518991451142
3	4	0.5139186295503212	0.4860813704496788
1	5	0.6046295818941073	0.3953704181058927
2	5	0.5886953801230577	0.41130461987694233
3	5	0.5923653006032868	0.40763469939671315
4	5	0.2991265003456293	0.7008734996543706
1	6	0.2945179584120983	0.7054820415879017
2	6	0.42281918303129196	0.577180816968708
3	6	0.3226326227069906	0.6773673772930093
4	6	0.5216298885733013	0.4783701114266987
5	6	0.6102182284980745	0.3897817715019255
1	7	0.3419505023278608	0.6580494976721392
2	7	0.33337438423645316	0.6666256157635468
3	7	0.32169653376325413	0.6783034662367459
4	7	0.5038142620232173	0.49618573797678267
5	7	0.5589394100734746	0.4410605899265254
6	7	0.3676497195585308	0.6323502804414691
1	8	0.3548504741064916	0.6451495258935084
2	8	0.36853526220614824	0.6314647377938518
3	8	0.3376735044834787	0.6623264955165213
4	8	0.5418597133929534	0.45814028660704664
5	8	0.5889896778229591	0.4110103221770409
6	8	0.37976653696498053	0.6202334630350195
7	8	0.2781347413957631	0.7218652586042369
1	9	0.37976653696498053	0.6202334630350195
2	9	0.43603374552178437	0.5639662544782156
3	9	0.3949475182351895	0.6050524817648105
4	9	0.520094045601181	0.479905954398819
5	9	0.5786903324056084	0.4213096675943916
6	9	0.3546504559270517	0.6453495440729483
7	9	0.3332717531867726	0.6667282468132274
8	9	0.2995539360432242	0.7004460639567758
1	10	0.5898718349484213	0.4101281650515787
2	10	0.6030451612903226	0.3969548387096774
3	10	0.5602425660939412	0.4397574339060588
4	10	0.5231625470617122	0.47683745293828783
5	10	0.5642141000477429	0.43578589995225714
6	10	0.5536258216213328	0.4463741783786672
7	10	0.57291996203733	0.42708003796267
8	10	0.5658117846545146	0.43418821534548535
9	10	0.5075268817204301	0.49247311827956985
1	11	0.6297083839611178	0.37029161603888217
2	11	0.60793087486499	0.39206912513501
3	11	0.5763728171681044	0.4236271828318956
4	11	0.47635667642422874	0.5236433235757713
5	11	0.5144895718990121	0.4855104281009879
6	11	0.6062821833161689	0.3937178166838311
7	11	0.5962346351330325	0.40376536486696746
8	11	0.5969623140324504	0.40303768596754963
9	11	0.5608550007975753	0.43914499920242467
10	11	0.3544503891050584	0.6455496108949417
1	12	0.4949955516014235	0.5050044483985765
2	12	0.5280617794213617	0.4719382205786383
3	12	0.4698965458759681	0.5301034541240319
4	12	0.48734141843178896	0.512658581568211
5	12	0.5485064621654958	0.4514935378345042
6	12	0.45000572672087963	0.5499942732791203
7	12	0.492312834224599	0.507687165775401
8	12	0.47532672374943663	0.5246732762505634
9	12	0.4416167664670659	0.5583832335329342
10	12	0.3512426900584795	0.6487573099415205
11	12	0.4243800209570381	0.5756199790429619
1	13	0.5342792158561681	0.4657207841438319
2	13	0.5431939286290974	0.45680607137090257
3	13	0.5036488279522335	0.49635117204776646
4	13	0.5157115437345764	0.4842884562654236
5	13	0.5748736310025273	0.4251263689974727
6	13	0.49281657200133644	0.5071834279986636
7	13	0.4925647451963241	0.5074352548036759
8	13	0.4523101555352242	0.5476898444647758
9	13	0.4197804764128911	0.5802195235871088
10	13	0.32002979330891934	0.6799702066910807
11	13	0.43086555742361876	0.5691344425763812
12	13	0.3259524987629886	0.6740475012370114
1	14	0.5215491342109576	0.4784508657890424
2	14	0.5506051194173717	0.44939488058262833
3	14	0.4732626353790614	0.5267373646209386
4	14	0.4679911699779249	0.5320088300220751
5	14	0.521145230029505	0.47885476997049503
6	14	0.4766139472054933	0.5233860527945067
7	14	0.49833555259653795	0.501664447403462
8	14	0.48810188805720034	0.5118981119427997
9	14	0.45522515838137095	0.5447748416186291
10	14	0.3094316052467208	0.6905683947532792
11	14	0.3676497195585308	0.6323502804414691
12	14	0.2897763174522937	0.7102236825477063
13	14	0.2998743718592965	0.7001256281407036
1	15	0.732983803014699	0.267016196985301
2	15	0.7197994513291079	0.28020054867089206
3	15	0.7264856726109254	0.27351432738907455
4	15	0.5577876059039805	0.44221239409601953
5	15	0.5431939286290974	0.45680607137090257
6	15	0.7257662068640836	0.27423379313591645
7	15	0.7002497118709181	0.2997502881290819
8	15	0.7127978313596804	0.28720216864031956
9	15	0.6747943595769682	0.3252056404230318
10	15	0.45425471159337527	0.5457452884066247
11	15	0.48818633748533763	0.5118136625146623
12	15	0.5886217865150962	0.4113782134849038
13	15	0.5432723358449946	0.45672766415500543
14	15	0.5204985241062644	0.4795014758937356
1	16	0.834517504198424	0.16548249580157603
2	16	0.8256172169913655	0.17438278300863452
3	16	0.8286159439106726	0.17138405608932739
4	16	0.702803738317757	0.297196261682243
5	16	0.6928426543031005	0.30715734569689945
6	16	0.8141949616648412	0.18580503833515882
7	16	0.8156478361703059	0.1843521638296941
8	16	0.8214752242445353	0.17852477575546466
9	16	0.7951925217004229	0.20480747829957713
10	16	0.6545038775104394	0.34549612248956063
11	16	0.6582391433670435	0.3417608566329565
12	16	0.7368273673402715	0.26317263265972846
13	16	0.7312614259597807	0.2687385740402193
14	16	0.7140820980615735	0.2859179019384265
15	16	0.4530178326474623	0.5469821673525377
1	17	0.8414947350398083	0.15850526496019168
2	17	0.8255077243534108	0.1744922756465892
3	17	0.8274920937486462	0.17250790625135382
4	17	0.7209357277882799	0.27906427221172014
5	17	0.6860374793669288	0.3139625206330712
6	17	0.8389103389103388	0.16108966108966116
7	17	0.8089160762223299	0.19108392377767014
8	17	0.8165719282903366	0.18342807170966335
9	17	0.8010543102684503	0.1989456897315497
10	17	0.700672107537206	0.299327892462794
11	17	0.6954111635978021	0.3045888364021979
12	17	0.7660146810741806	0.23398531892581942
13	17	0.7643809349890431	0.23561906501095686
14	17	0.7433837867954314	0.2566162132045686
15	17	0.5185286550988013	0.4814713449011987
16	17	0.3870679380214541	0.6129320619785459
1	18	0.8627731092436974	0.13722689075630257
2	18	0.847617831140631	0.15238216885936895
3	18	0.8497726403467766	0.15022735965322342
4	18	0.7524889380530974	0.24751106194690264
5	18	0.726605504587156	0.273394495412844
6	18	0.862295081967213	0.13770491803278695
7	18	0.8308928340028509	0.16910716599714914
8	18	0.838767805045478	0.161232194954522
9	18	0.820602204889102	0.17939779511089804
10	18	0.7323904083926565	0.26760959160734354
11	18	0.7353518362769835	0.26464816372301647
12	18	0.7978680879413724	0.20213191205862757
13	18	0.796852773826458	0.20314722617354197
14	18	0.7798214768731403	0.2201785231268597
15	18	0.5770464223752695	0.4229535776247305
16	18	0.44501895897966215	0.5549810410203379
17	18	0.2272221130543001	0.7727778869456999
1	19	0.861236167795683	0.13876383220431698
2	19	0.8447584087416766	0.15524159125832337
3	19	0.8452513013055721	0.15474869869442787
4	19	0.739697322467986	0.26030267753201397
5	19	0.6996108201604766	0.3003891798395234
6	19	0.8586429384725677	0.14135706152743233
7	19	0.8308855291576673	0.16911447084233266
8	19	0.8373641479444993	0.16263585205550068
9	19	0.81925660937091	0.18074339062908995
10	19	0.725513279336975	0.27448672066302504
11	19	0.7286264562194664	0.2713735437805336
12	19	0.7902829303177937	0.20971706968220627
13	19	0.7920646255467286	0.20793537445327137
14	19	0.7712249160083539	0.22877508399164614
15	19	0.572897442657527	0.42710255734247304
16	19	0.5241029556112989	0.47589704438870106
17	19	0.3474384807962387	0.6525615192037613
18	19	0.3343590374792295	0.6656409625207704
1	20	0.6569741477695629	0.34302585223043713
2	20	0.6469029645553167	0.3530970354446833
3	20	0.596744089589382	0.40325591041061803
4	20	0.5125302264233897	0.48746977357661025
5	20	0.531336480546964	0.46866351945303597
6	20	0.6342718740538904	0.3657281259461096
7	20	0.6074295122453179	0.39257048775468206
8	20	0.6028288251084039	0.39717117489159615
9	20	0.5819667836747524	0.4180332163252476
10	20	0.4626831761899352	0.5373168238100647
11	20	0.3711861346813504	0.6288138653186496
12	20	0.4463578439814017	0.5536421560185982
13	20	0.48683401352937883	0.5131659864706212
14	20	0.397608193712628	0.602391806287372
15	20	0.5062913907284767	0.49370860927152327
16	20	0.6733003284152738	0.32669967158472624
17	20	0.650528520143598	0.34947147985640203
18	20	0.7102830458400838	0.28971695415991616
19	20	0.7019807203491439	0.29801927965085606
1	21	0.6875818261164719	0.3124181738835281
2	21	0.6760907845822736	0.32390921541772644
3	21	0.6403777565680414	0.3596222434319586
4	21	0.6067843722654038	0.3932156277345962
5	21	0.6283194810460165	0.37168051895398346
